Country,Latitude,Longitude,Regional indicator,Year,Happiness score,Whisker-high,Whisker-low,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Trinidad and Tobago,10.691803,-61.222503,Latin America and Caribbean,2020,6.191899776,6.416218758,5.967580795,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396
Tunisia,33.886917,9.537499,Middle East and North Africa,2020,4.392199993,4.489554405,4.294845581,0.874742687,0.872167706,0.781156719,0.235860556,0.055881143,0.043899573
Turkey,38.963745,35.243322,Middle East and North Africa,2020,5.131800175,5.20988369,5.05371666,1.127169251,1.197159171,0.781335294,0.25440076,0.085885569,0.120983243
Turkmenistan,38.969719,59.556278,Commonwealth of Independent States,2020,5.119100094,5.17668438,5.061515808,1.008963585,1.510476947,0.612448037,0.515236676,0.323129326,0.03350389
Uganda,1.373333,32.290275,Sub-Saharan Africa,2020,4.43200016,4.566251278,4.297749043,0.312337428,1.052327394,0.378311664,0.401682556,0.264807373,0.063818842
Ukraine,48.379433,31.16558,Commonwealth of Independent States,2020,4.56069994,4.658080578,4.463319302,0.780434608,1.321316481,0.698674381,0.319423705,0.178551316,0.00965116
United Arab Emirates,23.424076,53.847818,Middle East and North Africa,2020,6.790800095,6.870568752,6.711031437,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518
United Kingdom,55.378051,-3.435973,Western Europe,2020,7.164500237,7.237337589,7.091662884,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646
United States,37.09024,-95.712891,North America and ANZ,2020,6.939599991,7.032339573,6.846860409,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741
Uruguay,-32.522779,-55.765835,Latin America and Caribbean,2020,6.440100193,6.529121399,6.351078987,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074
Uzbekistan,41.377491,64.585262,Commonwealth of Independent States,2020,6.257599831,6.36388588,6.151313782,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265
Venezuela,6.42375,-66.58973,Latin America and Caribbean,2020,5.053199768,5.179189682,4.927209854,0.770238638,1.348546863,0.76702553,0.271717221,0.087179154,0.063624777
Vietnam,14.058324,108.277199,Southeast Asia,2020,5.353499889,5.41974926,5.287250519,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459
Western Europe,#N/A,#N/A,,2020,6.899219036,6.977359635,6.821078437,1.300418252,1.402223967,0.995931509,0.549438736,0.224752282,0.262678113
Yemen,15.552727,48.516388,Middle East and North Africa,2020,3.527400017,3.633549929,3.421250105,0.392701775,1.177477121,0.41500017,0.243721485,0.094689012,0.087352127
Zambia,-13.133897,27.849332,Sub-Saharan Africa,2020,3.759399891,3.878326178,3.640473604,0.536833763,0.896037281,0.36359334,0.49131754,0.250620902,0.086705238
Zimbabwe,-19.015438,29.154857,Sub-Saharan Africa,2020,3.299200058,3.414201975,3.184198141,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579
